Source_Page,Table_Number,0,1,2,3,4,5,6,7,8,9,10
229,28,,,"37 Bridges and culverts 
installed in 5 wards and 
other wards during 
road construction 
works","37 Bridges and 
culverts 
installed in 5 
wards and 
other wards 
during road 
construction 
works","37,737,500","RDA, Council",,,,,
229,28,,,"Open up 20kms of 
drainages in Chisamba 
township","20 kms of 
drainages 
opened up","396,000  Council",,,,,,
229,28,,"Rural 
Industrializati
on","Produce one district 
investment profile to 
showcase the 
investment potential of 
the district so as to use 
it to attract investment 
in the district","1 District 
investment 
profile 
formulated",20000  COUNCIL,,,,,,
229,28,,"Rural 
Electrificatio
n","Sign 1 MOU with the 
Rural Electrification 
Authority for the","1 MOU signed 
between 
Council and 
REA","2,500","REA, Council, CDFC",,,,,
230,29,,,"connection of power 
to all 12 wards",,,,,,,,
230,29,,,"Connect 33 schools to 
electricity","33 schools 
connected to 
electricity","6,564,000",,,,,,
230,29,,,"Connect 14 Health 
facilities to electricity","14 health 
facilities 
connected to 
electricity","2,800,000",,,,,,
230,29,,"Youth 
entrepreneu
rship and 
vocational 
skills training","Support 1750 youths 
under the CDF skills 
development bursary","1750 youths 
supported with 
skills 
development 
bursaries","24,500,000  Council",,,,,,
230,29,"Chisamba will 
increase 
access to 
decent and 
affordable 
housing","Settlement 
improvemen
t","Upgrade 5 unplanned 
settlements","5 unplanned 
settlements 
upgraded","5,000,000","Council, Provincial 
Planning Unit, MOL",,,,,
230,29,,,"Ensure that 75% of new 
buildings meet the 
required building 
standards","Building 
standards met 
by 75% of new 
construction","60,000  Council",,,,,,
230,29,Objective: To improve the water supply and sanitation in the district,,,,,,,,,,
230,29,"Chisamba will 
improve 
access to 
clean and safe 
water","Infrastructur
e 
developme
nt","Drill and equip 60 
boreholes in all wards 
(5 per ward)","60 boreholes 
drilled",,"3,000,000  Council, MWDS",,,,,
230,29,,,"Increase the 
percentage of public 
institutions with water","75% of public 
institutions to",,"12,000,000  CDF, MOE, MOH, MWDS",,,,,
231,30,,,"schemes from below 
10% to 75 % by end of 
2033","have water 
installed",,,,,,,
231,30,,,"Operationalize 1 
SOMAP shop","1 SOMAP shop 
operationalize
d",,"650,000  Council, MWDS",,,,,
231,30,,,"Increase the number of 
kiosks at the Chisamba 
CBD from the current 4 
to 6 (Construct 2 more)","2 kiosks 
constructed","240,000","Council, MWDS, 
Lukanga water",,,,,
231,30,,,"Rehabilitate 300 
boreholes","300 boreholes 
rehabilitated",,"3,750,000  Council, MWDS",,,,,
231,30,,,"increase the number of 
households connected 
to Lukanga water 
supply from  445 to 
1445","100 more 
households 
connected to 
Lukanga water","2,500,000","Council, MWDS, 
Lukanga water",,,,,
231,30,,,"Train 24 Area Pump 
Menders (APMS)- 2 per 
ward","24 Area Pump 
Menders 
Trained","74,000","Council, MWDS, 
C/Partners",,,,,
231,30,,"Water 
quality 
monitoring.","Conduct quarterly 
testing of water 
samples","Quarterly 
water testing 
conducted","24,000","Health, Council, MWDS",,,,,
231,30,"Chisamba will 
ensure 
improved 
sanitation 
services by 
2033","Solid waste 
manageme
nt","Improve solid waste 
management by 
mechanising the two 
existing dumpsites","2 existing 
dump sites 
mechanised",,"5,000,000  Council, MWDS",,,,,
231,30,,,"Open up one more 
dump site along the","1 new dump 
site opened up",,"1,500,000  Council, MWDS",,,,,
232,31,,,"Chipembi, Chamuka to 
Kabwe route",,,,,,,,
232,31,,,"Construct 5 more 
refuse bays","5 refuse bays 
constructed",,"500,000  Council, MWDS",,,,,
232,31,,,"Construction of 25 
incinerators at all 
health facilities 
(including the new 
ones under 
construction)","25 incinerators 
constructed","5,000,000","Health, Council",,,,,
232,31,,"Sanitation 
and hygiene 
promotion","Development of 1 
water and 1 waste 
management system","1 water and 1 
waste 
management 
system in place",,"24,000  Council, MWDS",,,,,
233,32,,ENVIRONMENTAL SUSTAINABILITY,,,,,,,,,
233,32,,Objective 1: Enhance Mitigation and Adaptation to Climate Change,,,,,,,,,
233,32,,Strategies,,Programmes,,Sub Program,Output,TOTAL COST,"PROPOSED 
SOURCE OF 
FUNDS",,
233,32,,"Chisamba will 
strengthen 
climate 
change 
adaptation",,"Climate 
change 
mainstreami
ng",,"Ensure that 100% of programs 
and projects mainstream 
climate change","Climate change 
mainstreamed in 
100% of the 
programs and 
projects",0,"All 
stakeholders",,
233,32,,"Chisamba will 
strengthen 
climate 
change 
mitigation",,"Sustainable 
forest 
manageme
nt",,"Reduce annual deforestation 
rate from 70% to 40%","Deforestation rate 
reduced from 70% to 
40%","25,000,000","Forestry, C/ 
Partners, 
Traditional 
leaders",,
233,32,,"Chisamba will 
enhance 
disaster risk 
reduction and 
response",,"Climate 
information 
services",,Install 8 rain gauges,"8 rain gauges 
installed",,"96,000  MOA/ 
PARTNERS",,
233,32,,,,"Disaster 
preparedne
ss and 
mitigation",,"Prepare one District Disaster 
Preparedness and Mitigation 
plan","1 Disaster 
Preparedness and 
Mitigation plan in 
place","5,000","District 
DMMU",,
233,32,Objective 2: To promote sustainable environment and natural resources management,,,,,,,,,,
233,32,"Chisamba will 
promote 
integrated",,"Pollution 
prevention 
and control",,"Conduct quarterly public 
education and awareness 
campaigns",,"quarterly public 
awareness",,"120,000  Council",,
234,33,"environment 
management",,,"campaigns 
conducted",,,,,,,
234,33,,,"Conduct quarterly inspections 
to monitor adherence","quarterly inspections 
conducted to 
monitor adherence",,"120,000  Council",,,,,
234,33,,,"Review and provide feedback 
on all EPBs received from 
ZEMA (100%)","100% EPBs reviewed 
and feedback given",,"50,000  Council/ 
ZEMA",,,,,
234,33,,"Environment
al 
compliance 
tracking","Conduct quarterly inspections 
to monitor adherence","quarterly inspections 
conducted to 
monitor adherence",,"120,000  Council",,,,,
234,33,,,"Conduct quarterly 
enforcements for non-
compliant individuals or 
businesses","quarterly 
enforcements 
conducted for non 
compliant business",,"120,000  Council",,,,,
234,33,,"Urban and 
regional 
planning",,,0,,,,,,
234,33,"Chisamba will 
enhance natural 
resources 
management","Sustainable 
land and 
forest 
manageme
nt","Designate 22 hectares of 
forests as Community Forest 
Management Areas","22 ha of forest 
designated as 
community forests","400,000",Forestry,,,,,
234,33,,,"Establish 22463 hectors of 
community forests for carbon 
trading","22463 ha of 
community forests 
established for 
carbon","22,463,000",Partners,,,,,
234,33,,,"Conduct afforestation and 
reforestation by planting 20 
hectares of forest","20 ha of forest 
planted","150,000",Forestry,,,,,
235,34,,,"Lobby for the employment of 6 
more officers under forestry 
including 3 forest rangers","Ministry responsible 
engaged once a 
year to employ 6 
more officers under 
forestry (3 officers 
plus 3 forest rangers)","10,000",Forestry,,,,,
235,34,,"Sustainable 
wildlife and 
fisheries 
manageme
nt","Set up an office for wildlife 
officers","1 wildlife office 
established","330,185.79","Parks and 
wildlife",,,,,
235,34,,"Community 
based 
natural 
resources 
manageme
nt","Partners and forestry 
departments to form 
Community Forest 
Management groups to 
manage forests and other 
biodiversity","3 Community Forest 
Management 
Groups formed","300,000","Forestry and 
C/ Partners",,,,,
236,35,GOOD GOVERNANCE ENVIRONMENT,,,,,,,,,,
236,35,Objective 1: To ensure the decentralization  of Public Service System Delivery,,,,,,,,,,
236,35,Strategies,Programmes,Sub Program,Output,"TOTAL 
COST","PROPOSED 
SOURCE OF 
FUNDS",,,,,
236,35,"Chisamba will 
ensure 
decentralization 
of public service 
system delivery by 
2033","Sector 
Decentralizati
on","Digitization of 
revenue 
collection 
systems in all 
government 
units that 
collect revenue 
by creating 1 
system","1 digitized revenue 
collection   system in 
place","100,000  Council,","District 
Administration",,,,,
236,35,,,"Increase local 
revenue by 20% 
annually 
through 
recruiting 
qualified 
revenue 
collectors, 
training 
revenue 
collectors, 
increasing spot","Local revenue 
increased by 20% 
annually","250,000  Council",C/Partners,,,,,
237,36,,,"checks, 
Keeping and 
updating the 
revenue 
database etc.",,,,,,,,
237,36,,,"Enhancing 
inclusive 
participation in 
decision 
making and 
socio-economic 
development 
through 
formation of 12 
WDCS",12 WDCs formed,"350,000","Council, Other 
government 
departments, 
Partners",,,,,
237,36,,,"Enhancing 
inclusive 
participation in 
decision 
making and 
socio-economic 
development 
through 
continuous 
capacity 
building of the 
12 WDCS","12 WDCs  capacity 
built","125,000","Council, Other 
government 
departments, 
Partners",,,,,
238,37,,"Capacity 
Development","Establishing 
advocacy 
platforms by 
constructing 
and 
operationalizing 
1 radio station","1 radio station 
constructed and 
operationalized","1,500,000","MPs OFFICE, 
DISTRICT 
ADMIN, 
COUNCIL, 
PARTNERS",,,,,
238,37,"Chisamba will 
ensure 
strengthened 
transparency and 
accountability 
mechanisms","Civic 
education","Promotion of 
awareness and 
sensitization 
through the 
production of 
780 Television 
(TV) and Radio 
Documentaries 
as well as 
Television News 
Packages on 
government 
programmes 
and projects","780 television and 
radio documentaries 
and news packages 
produced","780,000","ZANIS, All 
government 
departments, 
C/partners",,,,,
238,37,,,"Raise 
awareness of 
crime by 
conducting 40 
community 
sensitization","40 sensitization 
meetings on crime 
awareness 
conducted","120,000",Zambia Police,,,,,
239,38,,,,"meetings/ 
programs",,,,,,,
239,38,,"Audit and Risk 
management",,"Establishment of 
1 integrity 
committee in 
the district",,"1 District integrity 
committee 
established",,"10,000  Council,","District 
Administration, 
ACC",,
239,38,"Chisamba will 
strengthen public 
service  
performance 
management 
systems","Performance 
Management 
System",,"Development 
of 1 service 
charter for the 
Local Authority",,"1 Local Authority 
service charter 
developed",,"25,000  Council",,,
239,38,"Objective:  To Improve the rule of Law, Human Rights and Constitutionalism",,,,,,,,,,
239,38,"Chisamba will 
strengthen the 
criminal and 
justice system 
and enhance the 
rule of law","Infrastru
cture 
Develop
ment","Construction 
and 
operationalizatio
n of 2 courts 
(one local and 
one 
subordinate) 
CDB",,"2 courts 
constructed (1 
local  1 
subordinate)",,"1,500,000",Judiciary,,,
239,38,,,"Rehabilitate 1 
local court",,"1 local court 
rehabilitated",,"300,000",Judiciary,,,
239,38,,,"Construction of 
3 police posts",,"3 Police post 
constructed",,"3,000,000",Zambia Police,,,
240,39,,YEARS,2021,,,2022,,,,,
240,39,"S/
N",DETAILS,"APPROVED 
BUDGET",ACTUAL,%,"APPROVED 
BUDGET",ACTUAL,%,,,
240,39,1,Local Taxes,"1,089,597.00","108,188.00",11.92,"820,000.00","366,959.00",44.75,,,
240,39,2,Fees and Charges,"1,441,194.00","609,643.00",42.3,"1,819,425.00","1,434,563.00",78.85,,,
240,39,3,Licences,"121,670.00","145,204.00",119.34,"102,670.00","147,462.00",143.63,,,
240,39,4,Levies,"733,150.00","350,710.00",47.84,"819,950.00","556,533.00",67.87,,,
240,39,5,Permits,"74,500.00","53,915.00",72.37,"102,000.00",174.159.00,170.74,,,
240,39,6,Charges,"11,361,870.00","3,048,392.00",26.83,"10,356,000.00","823,093.00",7.93,,,
240,39,7,National Support,"8,915,844.00","8,577,216.00",0.96,"10,634,044.00","14,837,694.0
0",139.53,,,
240,39,8,CDF,"1,600,000.00",-,0,"25,700,000.00","23,952,432.0
0",93.2,,,
240,39,,Grand Total,"25,337,825.00","12,893,268.00",50.89,"50,354,089.00","42,292,895.0
0",83.99,,,
241,40,,YEARS,2021,,,2022,,,,,
241,40,"S/
N",DETAILS,"APPROVED 
BUDGET",ACTUAL,%,"APPROVED 
BUDGET",ACTUAL,%,,,
241,40,1,Local Taxes,"1,089,597.00","108,188.00",11.92,"820,000.00","366,959.00",44.75,,,
241,40,2,Fees and Charges,"1,441,194.00","609,643.00",42.3,"1,819,425.00","1,434,563.00",78.85,,,
241,40,3,Licences,"121,670.00","145,204.00",119.34,"102,670.00","147,462.00",143.63,,,
241,40,4,Levies,"733,150.00","350,710.00",47.84,"819,950.00","556,533.00",67.87,,,
241,40,5,Permits,"74,500.00","53,915.00",72.37,"102,000.00",174.159.00,170.74,,,
241,40,6,Charges,"11,361,870.00","3,048,392.00",26.83,"10,356,000.00","823,093.00",7.93,,,
241,40,7,National Support,"8,915,844.00","8,577,216.00",0.96,"10,634,044.00","14,837,694.0
0",139.53,,,
241,40,8,CDF,"1,600,000.00",-,0,"25,700,000.00","23,952,432.0
0",93.2,,,
241,40,,Grand Total,"25,337,825.00","12,893,268.00",50.89,"50,354,089.00","42,292,895.0
0",83.99,,,
242,41,"INCOME PROJECTION FOR 
THE NEXT 5 YEARS",,,,,,,,,,
242,41,YEARS,2021,2022,2023,2024,2025,,,,,
242,41,"LOCALLY GENERATED 
REVENUE","15,596,981.00","16,688,769.67","17,856,983.55","19,106,972.40","20,444,460.46",,,,,
242,41,"CONSTITUENCY 
DEVELOPMENT FUND","1,600,000.00","25,700,000.00","28,313,902.00","30,295,875.14","32,416,586.40",,,,,
242,41,CAPITAL (20% OF LGEF),"1,608,168.80","1,720,740.62","1,841,192.46","1,970,075.93","2,107,981.25",,,,,
242,41,"GRZ SUPPORT TOWARDS LINE 
MINISTRIES AND PUBLIC 
INFRASTRUCTURE","6,432,675.20","6,882,962.46","7,364,769.84","7,880,303.73","8,431,924.99",,,,,
242,41,GRAND TOTAL,"25,237,825.00","50,992,472.75","55,376,847.84","59,253,227.19","63,400,953.09",,,,,
243,42,YEARS,2021,2022,2023,2024,2025,,,,,
243,42,Local Taxes,"1,089,597.00","1,165,868.79","1,247,479.61","1,334,803.18","1,428,239.40",,,,,
243,42,"Fees and 
Charges","2,216,194.00","2,371,327.58","2,537,320.51","2,714,932.95","2,904,978.25",,,,,
243,42,Licences,"121,670.00","130,186.90","139,299.98","149,050.98","159,484.55",,,,,
243,42,Levies,"733,150.00","784,470.00","839,383.44","898,140.28","961,010.09",,,,,
243,42,Permits,"74,500.00","79,715.00","85,195.05","91,265.70","97,654.30",,,,,
243,42,Charges,"11,361,870.0
0","12,157,200.9
0","13,008,204.9
6","13,918,779.3
1","14,893,093.8
6",,,,,
243,42,Grand Total,"15,596,981.0
0","16,688,769.6
7","17,856,983.5
5","19,106,972.4
0","20,444,460.4
6",,,,,
243,43,YEARS,2021,2022,2023,2024,2025,,,,,
243,43,,"1,600,000.00","25,700,000.00","28,313,902.00","30,295,875.14","32,416,586.40",,,,,
243,43,TOTAL,"1,600,000.00","25,700,000.00","28,313,902.00","30,295,875.14","32,416,586.40",,,,,
243,44,YEARS,2021,2022,2023,2024,2025,,,,,
243,44,Capital 20%12 months,"1,608,168.80","1,720,740.62","1,841,192.46","1,970,075.9
3","2,107,981.2
5",,,,,
243,45,YEARS,2021,2022,2023,2024,2025,,,,,
243,45,GRZ SUPPORT,"6,432,675.20","6,882,962.46","7,364,769.84","7,880,303.73","8,431,924.99",,,,,
243,45,TOTAL,"6,432,675.20","6,882,962.46","7,364,769.84","7,880,303.73","8,431,924.99",,,,,
247,46,NUMBER,ROLE,RESPONSIBILITIES,ORGANISATION,REPORTING,,,,,,
247,46,1,M& E Lead,"Overall quality 
assurance of M&E 
Plan and 
performance 
tracking 
● Monitor and 
escalate risks 
● Overall quality 
assurance of data 
collection and 
analysis 
methodologies 
● Manage 
relationships 
with key 
stakeholders","Ministry 
of 
National 
Development 
Planning 
/ 
Policy 
Planning 
Unit (PPU)","District 
Development 
Coordination 
Committee 
(DDCC) 
● 
Local 
Authorities  for 
the 
districts",,,,,,
247,46,3,"Data 
analysis","Develop 
databases 
● Develop data 
visualization tools 
● Coordinate with 
Government 
Departments 
to avoid 
duplication","District  Planning 
Office 
(1 
Manager 
from 
each 
District)",M&E Lead,,,,,,
248,47,,,"● Develop and 
manage M&E 
plans and 
schedules",,,,,,,,
248,47,9,"Data 
Analysts","Develop data 
collection and 
analysis 
methodologies 
● Data collection 
● Data analysis 
● Input data into 
M&E 
progress tracking 
tool","Departments 
across 
the 
region 
(to 
ensure specialist 
skills 
for 
each 
Development 
Policy 
are largely exists 
within 
the 
team)","Data 
Managers",,,,,,
248,47,1,"GIS 
Expert 
(supported 
by  GIS  Data 
Officers 
when 
GIS 
mapping 
needs to be 
conducted)","Link the 
Development 
Framework with 
the Spatial 
Development 
Framework 
● Conduct GIS 
mapping as the 
IDP is 
implemented 
● Update maps 
according to 
progress made","Preferably 
from 
a 
Local 
Authority",M&E Lead,,,,,,
